pupilid,schoolid,district,zone,tracking_assigned,tracking_actual,girl,w_correct,w_incorrect,w_missing,s_correct,s_incorrect,s_missing,a1_correct,a2_correct,a3_correct,a4_correct,a5_correct,a6_correct,a7_correct,a8_correct,spelling_correct,total_score,letter_grade,z_score,avg.yrstaught,total_math_score,d.zoneBUTERE EAST,d.zoneBUTERE WEST,d.zoneKABULA,d.zoneKHWISERO WEST,d.zoneMATUNGU,d.zoneMUMIAS EAST,d.zoneMUNICIPALITY,d.zoneSANGALO,d.zoneSOUTH WANGA
6991055,699,BUTERE/M,BUTERE WEST,1,1,0,21,3,0,13,2,25,3,3,3,2,1,2,0,0,10,58,C,1.45616444,NA,14,0,1,0,0,0,0,0,0,0
7081005,708,BUTERE/M,BUTERE WEST,0,0,0,21,3,0,36,4,0,3,3,3,2,3,2,1,2,9,85,A,3.11304164,12.071429,20,0,1,0,0,0,0,0,0,0
7091005,709,BUTERE/M,BUTERE WEST,0,0,0,21,2,1,17,13,10,1,1,0,0,0,0,0,0,6,46,C,0.71977457,14.035714,2,0,1,0,0,0,0,0,0,0
7101014,710,BUTERE/M,BUTERE WEST,0,0,0,21,3,0,5,1,34,3,3,1,0,2,1,0,0,6,42,C,0.47431128,NA,10,0,1,0,0,0,0,0,0,0
7121015,712,BUTERE/M,BUTERE WEST,1,0,0,21,3,0,37,3,0,3,3,3,2,3,2,1,1,8,84,A,3.05167581,14.9,19,0,1,0,0,0,0,0,0,0
7121028,712,BUTERE/M,BUTERE WEST,1,1,1,21,3,0,29,1,10,3,3,3,2,2,2,0,0,9,74,B,2.43801759,14.9,15,0,1,0,0,0,0,0,0,0
7121053,712,BUTERE/M,BUTERE WEST,1,1,1,21,3,0,39,1,0,3,3,3,2,3,2,1,1,10,88,A,3.2971391,14.9,19,0,1,0,0,0,0,0,0,0
7151053,715,BUTERE/M,BUTERE WEST,0,0,1,21,3,0,33,7,0,3,3,3,2,3,2,1,0,8,79,B,2.7448467,15.611111,18,0,1,0,0,0,0,0,0,0
7161068,716,BUTERE/M,BUTERE WEST,0,0,1,21,3,0,35,5,0,3,3,1,2,1,1,1,0,5,73,B,2.37665177,NA,13,0,1,0,0,0,0,0,0,0
7201011,720,BUTERE/M,BUTERE WEST,0,0,0,21,3,0,11,2,27,3,3,0,2,0,0,0,0,7,47,C,0.78114039,7.6,8,0,1,0,0,0,0,0,0,0
7201031,720,BUTERE/M,BUTERE WEST,0,1,1,21,3,0,13,2,25,3,3,0,2,0,1,0,0,6,49,C,0.90387204,7.6,9,0,1,0,0,0,0,0,0,0
7221021,722,BUTERE/M,BUTERE WEST,0,1,0,21,3,0,16,7,17,3,3,3,2,3,1,1,0,8,61,B,1.6402619,13.375,17,0,1,0,0,0,0,0,0,0
7251024,725,BUTERE/M,BUTERE WEST,1,0,1,21,3,0,17,1,22,3,3,1,2,2,1,1,0,9,60,B,1.57889608,NA,14,0,1,0,0,0,0,0,0,0
7251032,725,BUTERE/M,BUTERE WEST,1,1,0,21,3,0,15,1,24,3,2,1,2,3,1,0,0,10,58,C,1.45616444,NA,12,0,1,0,0,0,0,0,0,0
7251043,725,BUTERE/M,BUTERE WEST,1,1,1,21,3,0,21,4,15,3,3,1,2,3,1,1,0,9,65,B,1.88572519,NA,15,0,1,0,0,0,0,0,0,0
7341006,734,BUTERE/M,BUTERE WEST,1,1,0,21,3,0,5,4,31,3,1,2,0,2,1,0,0,8,43,C,0.5356771,7.555556,9,0,1,0,0,0,0,0,0,0
7341049,734,BUTERE/M,BUTERE WEST,1,1,0,21,3,0,12,3,25,3,3,1,2,0,1,1,0,8,52,C,1.0879695,7.555556,12,0,1,0,0,0,0,0,0,0
7341061,734,BUTERE/M,BUTERE WEST,1,1,1,21,3,0,16,2,22,3,2,3,2,1,2,1,0,6,57,C,1.39479862,7.555556,15,0,1,0,0,0,0,0,0,0
7341064,734,BUTERE/M,BUTERE WEST,1,1,1,21,3,0,8,7,25,2,3,3,2,3,2,1,0,9,54,C,1.21070115,7.555556,17,0,1,0,0,0,0,0,0,0
7391039,739,BUTERE/M,BUTERE WEST,0,0,1,21,3,0,8,2,30,3,0,1,0,2,2,0,0,7,44,C,0.59704293,9.645833,8,0,1,0,0,0,0,0,0,0
7391040,739,BUTERE/M,BUTERE WEST,0,0,1,21,3,0,25,5,10,3,3,2,2,2,1,0,0,10,69,B,2.13118848,9.645833,13,0,1,0,0,0,0,0,0,0
7401077,740,BUTERE/M,BUTERE WEST,1,1,0,21,3,0,9,4,27,0,3,0,2,2,0,0,0,7,44,C,0.59704293,13.083333,7,0,1,0,0,0,0,0,0,0
7401093,740,BUTERE/M,BUTERE WEST,1,0,0,21,3,0,14,16,10,3,3,2,2,3,2,0,0,4,54,C,1.21070115,13.083333,15,0,1,0,0,0,0,0,0,0
7671031,767,BUTERE/M,KHWISERO WEST,0,1,1,21,3,0,16,4,20,3,3,3,2,0,0,0,0,5,53,C,1.14933533,18.9,11,0,0,0,1,0,0,0,0,0
7691035,769,BUTERE/M,KHWISERO WEST,0,0,1,21,3,0,11,4,25,0,0,0,0,0,1,1,0,8,42,C,0.47431128,NA,3,0,0,0,1,0,0,0,0,0
7711029,771,BUTERE/M,KHWISERO WEST,0,0,1,21,3,0,19,21,0,2,3,1,2,3,1,1,0,4,57,C,1.39479862,13,14,0,0,0,1,0,0,0,0,0
7771013,777,BUTERE/M,KHWISERO WEST,0,0,0,21,3,0,14,1,25,3,3,1,2,1,0,0,0,8,53,C,1.14933533,NA,10,0,0,0,1,0,0,0,0,0
7781048,778,BUTERE/M,KHWISERO WEST,1,0,1,21,3,0,1,3,36,3,3,1,2,0,0,0,0,10,41,C,0.41294546,21.416667,9,0,0,0,1,0,0,0,0,0
7781062,778,BUTERE/M,KHWISERO WEST,1,1,0,21,3,0,8,5,27,3,3,2,2,0,0,0,0,8,47,C,0.78114039,21.416667,10,0,0,0,1,0,0,0,0,0
7781080,778,BUTERE/M,KHWISERO WEST,1,1,1,21,3,0,10,6,24,3,1,1,2,3,2,0,0,10,53,C,1.14933533,21.416667,12,0,0,0,1,0,0,0,0,0
